adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,keywords
False,,3600000,Drama;Romance,http://www.mgm.com/title_title.do?title_star=LEAVINGL,451,tt0113627,en,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,United Artists;Intial Productions,,1995-10-27,49800000,112,en,Released,I Love You... The Way You Are.,Leaving Las Vegas,False,7.1,365,individual;prostitute;alcohol;casino;love at first sight;lovesickness;film producer;screenwriter;hotel room;dying and death;rage and hate;unsociability;alcoholism;los angeles;alcohol abuse;attempted suicide
False,,18000000,Fantasy;Science Fiction;Adventure,,902,tt0112682,fr,La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,Procirep;Constellation Productions;France 3 Cinéma;Claudie Ossard Productions;Eurimages;MEDIA Programme of the European Union;Cofimage 5;Televisión Española (TVE);Tele München Fernseh Produktionsgesellschaft (TMG);Club d'Investissement Média;Canal+ España;Elías Querejeta Producciones Cinematográficas S.L.;Centre National de la Cinématographie (CNC);Victoires Productions;Constellation;Lumière Pictures;Canal+;Studio Image;Cofimage 4;Ossane;Phoenix Images,,1995-05-16,1738611,108,cn;fr,Released,Where happily ever after is just a dream.,The City of Lost Children,False,7.6,308,clone;dream;island;eye;dystopia;aging;friendship;rescue;children;girl;childhood
False,,29500000,Science Fiction;Thriller;Mystery,,63,tt0114746,en,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,Universal Pictures;Atlas Entertainment;Classico,,1995-12-29,168840000,129,en;fr,Released,The future is history.,Twelve Monkeys,False,7.4,2470,schizophrenia;philadelphia;cassandra syndrom;stockholm syndrome;time travel;post-apocalyptic;dystopia;lethal virus;monkey;subterranean
False,,11000000,Drama,,687,tt0112818,en,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,6.891317,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,Havoc;PolyGram Filmed Entertainment;Working Title Films,,1995-12-29,39363635,122,en,Released,,Dead Man Walking,False,7.3,350,prison;rape;socially deprived family;penalty;death penalty;despair;death row;begnadigung;therapist;self-discovery;prison cell;court case;death sentence;doomed man;sentence;lethal injection;forgiveness;charity;mercy petition;rage and hate;unsociability;right and justice;court;electric chair;cowardliness
False,,20000000,Fantasy;Drama;Comedy;Thriller,,577,tt0114681,en,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",10.448481,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,The Rank Organisation;Columbia Pictures Corporation,,1995-05-20,21284514,106,en,Released,All she wanted was a little attention.,To Die For,False,6.7,177,adultery;winter;obsession;television;new hampshire;narcissistic personality disorder
False,,33000000,Crime;Mystery;Thriller,http://www.sevenmovie.com/,807,tt0114369,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,New Line Cinema;Juno Pix;Cecchi Gori Pictures,,1995-09-22,327311859,127,en,Released,Seven deadly sins. Seven ways to die.,Se7en,False,8.1,5915,self-fulfilling prophecy;detective;s.w.a.t.;drug dealer;evisceration;lust and impulsiveness;rage and hate;pride and vanity;immoderateness;insomnia;investigation;pension;police;serial killer
False,,0,Drama;Romance,,8391,tt0114916,en,When Night Is Falling,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",3.302524,/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,Alliance Communications Corporation,,1995-05-05,0,96,en,Released,,When Night Is Falling,False,5.9,10,professor;lgbt;woman director
False,,6000000,Drama;Crime;Thriller,http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,629,tt0114814,en,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,Blue Parrot Productions;Bad Hat Harry Productions,,1995-07-19,23341568,106,es;en;fr;hu,Released,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,False,8.1,3334,law;relatives;theft;criminal;criminal mastermind;hungarian;sibling
False,,0,Music;Drama;Family,,2054,tt0113862,en,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",7.137117,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,Hollywood Pictures;The Charlie Mopic Company;PolyGram Filmed Entertainment;Interscope Communications,,1995-12-29,106269971,137,en,Released,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",Mr. Holland's Opus,False,6.9,115,composer;mentor;deaf-mute;musical;apprentice;private life;music;disabled
False,,0,Comedy;Romance,,4482,tt0113149,fr,Gazon maudit,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",2.518051,/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg,Renn Productions;Les Films Flam;TF1 Films Production;Canal+,,1995-02-08,0,95,fr;es,Released,,French Twist,False,6.0,43,love triangle;southern france;estate agent;menage a trois;van;woman director
False,,19000000,Horror;Action;Thriller;Crime,http://www.miramax.com/movie/from-dusk-till-dawn/,755,tt0116367,en,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.339153,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,A Band Apart;Dimension Films;Los Hooligans Productions;Miramax,,1996-01-19,25836616,108,en;es,Released,One night is all that stands between them and freedom. But it's going to be a hell of a night.,From Dusk Till Dawn,False,6.9,1644,dancing;brother brother relationship;sexual obsession;showdown;sheriff;eroticism;nudity;bank robber;vampire;holy water;siege;stripper;priest;explosion;extreme violence;bank robbery;preacher;hostage situation;crucifix;recreational vehicle;blood spurting;convenience store;female vampire;mexican american border;nightclub entertainer;boa constrictor
False,,0,Drama;Thriller,,27526,tt0112744,en,The Crossing Guard,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",5.756462,/mMXL84GqES2HYpJ0Zt18I7m6mfU.jpg,Miramax Films,,1995-11-15,0,111,en,Released,"...some lives cross, others collide.",The Crossing Guard,False,6.1,74,loss of daughter;hit-and-run driving ;revenge;suspense;independent film;tragedy
False,,8000000,Drama;Crime,,400,tt0114660,en,Things to Do in Denver When You're Dead,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,4.486179,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,Miramax Films,,1995-12-01,529766,116,en,Released,Protect. Love. Honor. Avenge.,Things to Do in Denver When You're Dead,False,6.7,87,father son relationship;bounty hunter;boat;way of life;coffin;denver;godmother;paranoia;hitman;friendship;psychopath;revenge;murder;independent film;mafia;diner;blood;gangster;violence;illegal prostitution;extramarital affair
False,,900000,Drama;Comedy,,880,tt0112379,nl,Antonia,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",2.030174,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,Bergen Film;Bard Entertainments;NPS Televisie,,1995-09-12,0,102,nl,Released,A motion picture that celebrates everything you love about life.,Antonia's Line,False,7.2,26,suicide;underdog;free love;philosophy;rape;mentally disabled;loss of mother;village life;world war ii;feminism;indian summer ;family history;widow;peasant;village;mathematics;freedom;right and justice;single;homosexuality;mother daughter relationship;domestic violence;university;woman director
False,,0,Drama;Romance,,8447,tt0112365,en,Angels and Insects,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",2.15166,/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg,Playhouse International Pictures;The Samuel Goldwyn Company,,1995-09-10,0,118,en,Released,An elegant seduction. An erotic deception. A stunning revelation.,Angels and Insects,False,6.3,17,class society;rich woman - poor man;scientist;naturalist;insect
False,,8169363,Crime;Drama;Thriller,,2086,tt0113972,en,Nick of Time,"Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles, accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks, he is approached by a pair of sinister people named Smith and Jones.",6.848591,/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg,Paramount Pictures,,1995-11-22,8175346,90,en,Released,,Nick of Time,False,6.1,190,assassination;train station;politics;los angeles
False,,3000000,Drama,,406,tt0113247,fr,La Haine,"Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said -- a Jew, African, and an Arab -- give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. La Haine means Hate.",12.108196,/jTzBED0leGPwWDqNewye11qzJgd.jpg,Egg Pictures;PolyGram Filmed Entertainment;Canal+;Les Productions Lazennec;La Sept Cinéma;Kasso Inc. Productions;Studio Image;Cofinergie 6,,1995-05-31,0,98,fr,Released,Three Young Friends... One Last Chance.,La Haine,False,7.9,695,paris;neo-nazi;skinhead;robbery;police brutality;hip-hop;gun;socially deprived family;breakdance;arabian;boredom;revenge;suburb;violence;police officer;unemployment;capture;xenophobia
False,,18000000,Drama;Mystery;Science Fiction;Thriller,,2045,tt0118040,en,Unforgettable,"Ray Liotta stars as a medical examiner who has been acquitted for his wife's murder but many still question his innocence. Obsessed with finding his wife's killer, a possible solution presents itself in an experimental serum designed by a neurobiology Linda Fiorentino which has the ability to transfer memories from one person to another, but not without consequences. Liotta driven to solve the case injects himself with the serum, bringing him closer and closer to finding her killer but bringing him closer to death.",2.464425,/qQek3X5Yv0iLZqQ98KWIKtE3x4m.jpg,Metro-Goldwyn-Mayer (MGM);Dino De Laurentiis Company;Spelling Films,,1996-02-23,0,106,en,Released,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.,Unforgettable,False,5.3,22,wife husband relationship;experiment;police;murder;suspense;memory;forensic;gunman;animal experimentation
False,,24000000,Drama;Romance,,688,tt0112579,en,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,5.951077,/czRuGEx9Yhnh6nApirTLPToxHNu.jpg,Amblin Entertainment;Malpaso Productions;Warner Bros.,,1995-05-28,182016617,135,en,Released,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,The Bridges of Madison County,False,7.3,397,farewell;adultery;love at first sight;photographer;wife husband relationship;iowa;love of one's life;mother role;bridge;housewife;love letter;peasant;marriage crisis;photography;unsociability;secret love;nature documentary
False,,72000000,Action;Drama;History;War,,197,tt0112573,en,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",20.755149,/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg,Icon Entertainment International;The Ladd Company;B.H. Finance C.V.,,1995-05-24,210000000,177,en;fr;la;gd,Released,Every man dies. Not every man truly lives.,Braveheart,False,7.7,3404,individual;scotland;in love with enemy;legend;independence;idealism;revolt;tyranny
False,,1300000,Crime;Drama,,103,tt0075314,en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg,Columbia Pictures Corporation;Italo/Judeo Productions;Bill/Phillips,,1976-02-07,28262574,114,en;es,Released,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,False,8.1,2632,vietnam veteran;taxi;obsession;drug dealer;night shift;vigilante;alienation;misanthrope;shot to death;illegal prostitution;loner
False,,7000000,Comedy;Romance,,2074,tt0116324,en,Flirting with Disaster,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).",5.579088,/pxxYa68L05ZR4vMwc6yB8KqXslo.jpg,Miramax Films,,1996-03-22,14702438,92,en,Released,"A comedy about sex, love, family and other accidents waiting to happen.",Flirting with Disaster,False,6.3,66,lsd;looking for  birth parents;half-brother;independent film
False,,17000000,Fantasy,,27793,tt0110647,en,The NeverEnding Story III,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,6.252377,/driZCEKL79PaCsZNICSU3xd59sk.jpg,Studio Babelsberg;Dieter Geissler Filmproduktion;Cinevox Filmproduktion GmbH;Warner Bros.;Miramax,,1994-10-26,0,95,en,Released,It's a brand new beginning in the adventure that never ends,The Neverending Story III: Escape from Fantasia,False,4.4,105,flying;magic
False,,0,Comedy,,5757,tt0113756,en,Man of the Year,"First-time director Dirk Shafer also penned this raucous ""mockumentary,"" a blend of fact and fiction that re-creates his 1992 reign as Playgirl magazine's Centerfold of the Year. When Shafer chooses to keep the fact that he's gay a secret from the magazine's editors, he finds himself living the ultimate lie -- and incapable of giving female readers what they really want. Will he succumb to his lover's pressures to come out of the closet?",0.540436,/nKYRDhGlbvQpXJnyMm7fcFDtm6P.jpg,,,1995-09-15,209935,86,en,Released,He as a centerfold who revealed everything ... but the truth.,Man of the Year,False,3.8,2,homosexuality;independent film;mockumentary
False,,0,,,124639,tt0114618,en,Target,A subtle yet violent commentary on feudal lords.,0.001205,/z0ezqAFMeGYd5mLEWaN8jC9eczF.jpg,,,1995-08-01,0,122,,Released,,Target,False,0.0,0,
False,,52000000,Drama,,568,tt0112384,en,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",18.761467,/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,Imagine Entertainment;Universal Pictures,,1995-06-30,355237933,140,en,Released,"Houston, we have a problem.",Apollo 13,False,7.3,1637,moon;florida;nasa;spaceman;race against time;houston;based on true story;space;rescue;survival;disaster;explosion;astronaut;imax;saturn v rocket;courage;hypothermia;apollo program;cape kennedy;lunar mission;spacecraft accident
False,,100000000,Action;Crime;Fantasy,,414,tt0112462,en,Batman Forever,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",13.321354,/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg,Warner Bros.;Polygram Filmed Entertainment,,1995-06-16,336529144,121,en,Released,"Courage now, truth always...",Batman Forever,False,5.2,1529,riddle;dc comics;rose;gotham city;partner;superhero;robin;broken neck;psychologist;violence;criminal;district attorney;millionaire;falling down stairs;tied up;tommy gun;beretta;knocked out;super powers;disfigurement;father figure
False,,0,Drama;Romance,,649,tt0061395,fr,Belle de jour,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.",10.142662,/rHvKWARrhNwSjbTMJrn5v4LtUJE.jpg,Paris Films Productions;Five Films;Robert et Raymond Hakim,,1967-05-24,0,101,fr;mn;es,Released,Luis Bunuel's Masterpiece of Erotica!,Belle de Jour,False,7.3,163,prostitute;adultery;double life;dual identity;jealousy;wife husband relationship;brothel;dream;women's sexual identity;fantasy;masochism;independent film
False,,0,Drama;Thriller,,1873,tt0112495,en,Beyond Rangoon,"Patricia Arquette stars as American widow Laura Bowman, a young doctor who's unwittingly drawn into political turmoil while vacationing in Burma in the late 1980s, in this fictionalized drama based on actual events. Bowman initially left San Francisco with her sister (Frances McDormand) in an attempt to escape painful memories of her husband and son's violent deaths. But her fight to escape to Thailand could prove just as harrowing.",2.04189,/5CQgpLITPo33AEN1jULsyiHxSDJ.jpg,Columbia Pictures;Castle Rock Entertainment,,1995-05-24,0,100,en,Released,Truth has a witness,Beyond Rangoon,False,6.4,21,burma;rangoon;doctor
False,,2000000,Comedy,http://miramax.com/movie/blue-in-the-face/,5894,tt0112541,en,Blue in the Face,"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram.",11.528147,/qa9yf3OlfXbYBb0af0mpawGB6TI.jpg,Miramax Films;InterAL,,1995-09-15,1275000,83,en,Released,Welcome to the planet Brooklyn.,Blue in the Face,False,6.8,28,smoking;corner shop;cigarette;tobacco;cigar;independent film
False,,50000000,Fantasy;Comedy;Family,,8839,tt0112642,en,Casper,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.",12.812539,/cpMbvFDD2C21pqMNXVPhSWGQBR9.jpg,Universal Pictures;Amblin Entertainment;The Harvey Entertainment Company,,1995-05-26,287928194,100,en,Released,Get an afterlife,Casper,False,6.0,1045,halloween;friendship;supernatural;afterlife;friends;danger;ghost;disorder;young heroes;imaginary;supernatural ability;mischievous children
False,,53000000,Action;Thriller;Drama,,8963,tt0112740,en,Crimson Tide,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.",8.657365,/oDJyDX11HW4j565vUjmFagKxDTQ.jpg,Hollywood Pictures;Don Simpson/Jerry Bruckheimer Films,,1995-05-12,157387195,116,en,Released,Danger runs deep.,Crimson Tide,False,7.0,508,submarine;mutiny;russia;missile;nuclear missile;embassy;u.s. navy;battle for power;torpedo;military;moral dilemma;post cold war;aircraft carrier;chain of command;launch code;sonar
False,,0,Documentary,,26564,tt0109508,en,Crumb,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",3.620388,/yzK39sdkGoiSyKZEWT6HQzaC0BX.jpg,Superior Pictures,,1994-09-10,3174695,119,en,Released,Weird sex · Obsession · Comic books,Crumb,False,7.6,71,underground;biography;art
